"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"82370";"42830";"39542"
"5";"9";"92516";"48149";"44366"
"10";"14";"92923";"48090";"44831"
"15";"19";"86508";"44935";"41569"
"20";"24";"90003";"47310";"42695"
"25";"29";"77869";"41028";"36843"
"30";"34";"122444";"63206";"59239"
"35";"39";"136686";"70740";"65943"
"40";"44";"131543";"68793";"62753"
"45";"49";"110793";"58026";"52765"
"50";"54";"158178";"81100";"77079"
"55";"59";"185801";"92753";"93050"
"60";"64";"181418";"88194";"93227"
"65";"69";"167051";"79276";"87777"
"70";"74";"133989";"60934";"73053"
"75";"79";"100482";"43274";"57212"
"80";"84";"113401";"45364";"68040"
"85";"89";"57433";"19664";"37766"
"90";"94";"25040";"6167";"18870"
