"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"551261";"281387";"269871"
"5";"9";"531104";"271829";"259276"
"10";"14";"516745";"264210";"252531"
"15";"19";"539153";"277507";"261643"
"20";"24";"641307";"334601";"306704"
"25";"29";"693287";"361969";"331319"
"30";"34";"752104";"387804";"364297"
"35";"39";"719454";"364745";"354711"
"40";"44";"689864";"344830";"345030"
"45";"49";"658227";"327671";"330557"
"50";"54";"815747";"408568";"407180"
"55";"59";"890644";"448796";"441850"
"60";"64";"783837";"387177";"396658"
"65";"69";"631363";"303647";"327717"
"70";"74";"529038";"247847";"281189"
"75";"79";"390236";"176959";"213280"
"80";"84";"428557";"181099";"247456"
"85";"89";"232470";"89716";"142753"
"90";"94";"109647";"32978";"76669"
