"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"3338895";"1714870";"1624027"
"5";"9";"3525830";"1809032";"1716801"
"10";"14";"3940566";"2021306";"1919261"
"15";"19";"4013881";"2057156";"1956722"
"20";"24";"4835639";"2463927";"2371711"
"25";"29";"4872533";"2455887";"2416647"
"30";"34";"4751909";"2385301";"2366611"
"35";"39";"4742891";"2378054";"2364839"
"40";"44";"6351192";"3209481";"3141707"
"45";"49";"6999679";"3547255";"3452420"
"50";"54";"6206294";"3113461";"3092834"
"55";"59";"5419449";"2668977";"2750470"
"60";"64";"4702815";"2298902";"2403917"
"65";"69";"4173352";"1999286";"2174064"
"70";"74";"4861239";"2247194";"2614043"
"75";"79";"3270284";"1413884";"1856398"
"80";"84";"2328083";"878797";"1449285"
"85";"89";"1335076";"369030";"966045"
"90";"94";"550089";"114135";"435957"
