"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"171163";"87833";"83331"
"5";"10";"190988";"97995";"92992"
"10";"15";"186675";"95839";"90836"
"15";"20";"171351";"87386";"83967"
"20";"25";"180813";"93923";"86893"
"25";"30";"164989";"86661";"78325"
"30";"35";"248368";"128256";"120110"
"35";"40";"274605";"141621";"132981"
"40";"45";"264026";"138327";"125701"
"45";"50";"219066";"115560";"103508"
"50";"55";"273820";"142737";"131081"
"55";"60";"312934";"157734";"155204"
"60";"65";"298652";"145849";"152799"
"65";"70";"282198";"133306";"148891"
"70";"75";"241295";"109936";"131356"
"75";"80";"185795";"80221";"105578"
"80";"85";"209919";"84934";"124987"
"85";"90";"110373";"39876";"70500"
"90";"95";"51098";"13432";"37664"
