"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"724083";"371850";"352230"
"5";"9";"792901";"406880";"386024"
"10";"14";"913018";"467786";"445231"
"15";"19";"959863";"491295";"468569"
"20";"24";"1041672";"529766";"511909"
"25";"29";"1033989";"515523";"518463"
"30";"34";"1008606";"499010";"509600"
"35";"39";"1038139";"512844";"525294"
"40";"44";"1417537";"712567";"704973"
"45";"49";"1531954";"775064";"756888"
"50";"54";"1358451";"679016";"679438"
"55";"59";"1159419";"568287";"591130"
"60";"64";"1005646";"487958";"517690"
"65";"69";"869490";"412777";"456710"
"70";"74";"1034211";"474752";"559457"
"75";"79";"720016";"310984";"409031"
"80";"84";"520886";"197995";"322888"
"85";"89";"292257";"80509";"211749"
"90";"94";"116124";"23078";"93048"
