"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"154211";"78925";"75284"
"5";"9";"135418";"69396";"66025"
"10";"14";"131162";"66964";"64200"
"15";"19";"128369";"65328";"63037"
"20";"24";"216634";"103947";"112690"
"25";"29";"263559";"129760";"133797"
"30";"34";"249829";"124752";"125076"
"35";"39";"214457";"108525";"105931"
"40";"44";"255728";"131631";"124101"
"45";"49";"283956";"145353";"138605"
"50";"54";"232721";"117754";"114963"
"55";"59";"206017";"99725";"106289"
"60";"64";"185957";"89462";"96492"
"65";"69";"187084";"89318";"97764"
"70";"74";"189005";"86391";"102616"
"75";"79";"118412";"50350";"68062"
"80";"84";"75064";"27552";"47514"
"85";"89";"41973";"10423";"31552"
"90";"94";"22816";"4108";"18710"
