"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"637948";"326740";"311206"
"5";"9";"614407";"314910";"299494"
"10";"14";"586437";"301036";"285402"
"15";"19";"595205";"305293";"289910"
"20";"24";"710611";"370475";"340132"
"25";"29";"797998";"413116";"384879"
"30";"34";"889016";"456779";"432238"
"35";"39";"863286";"438035";"425248"
"40";"44";"838853";"419444";"419412"
"45";"49";"790508";"395110";"395402"
"50";"54";"984300";"493436";"490862"
"55";"59";"1059655";"531067";"528589"
"60";"64";"929606";"458060";"471548"
"65";"69";"743394";"357857";"385536"
"70";"74";"635001";"296876";"338127"
"75";"79";"477151";"216574";"260579"
"80";"84";"505013";"212687";"292329"
"85";"89";"258888";"96267";"162619"
"90";"94";"121444";"35192";"86254"
