"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"26149";"13607";"12545"
"5";"9";"25972";"13502";"12467"
"10";"14";"29125";"15083";"14045"
"15";"19";"31135";"15901";"15236"
"20";"24";"45153";"22219";"22936"
"25";"29";"46672";"24075";"22595"
"30";"34";"41391";"21346";"20046"
"35";"39";"39322";"20181";"19142"
"40";"44";"49312";"25040";"24269"
"45";"49";"52369";"26339";"26031"
"50";"54";"46581";"22980";"23602"
"55";"59";"40859";"19628";"21229"
"60";"64";"39000";"18749";"20252"
"65";"69";"35435";"17147";"18290"
"70";"74";"39833";"18286";"21546"
"75";"79";"26244";"10791";"15451"
"80";"84";"19108";"6843";"12263"
"85";"89";"11766";"3211";"8556"
"90";"94";"5433";"1172";"4259"
