"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"61213";"31281";"29931"
"5";"9";"69267";"35295";"33973"
"10";"14";"70742";"36026";"34714"
"15";"19";"64713";"32893";"31821"
"20";"24";"64343";"32875";"31468"
"25";"29";"54174";"27958";"26217"
"30";"34";"89604";"45704";"43898"
"35";"39";"103021";"52537";"50486"
"40";"44";"101125";"52517";"48604"
"45";"49";"81721";"42773";"38946"
"50";"54";"108786";"55526";"53257"
"55";"59";"138686";"69199";"69489"
"60";"64";"141898";"69687";"72214"
"65";"69";"128284";"61673";"66612"
"70";"74";"95160";"44665";"50494"
"75";"79";"61883";"27365";"34521"
"80";"84";"77336";"30756";"46578"
"85";"89";"41481";"14440";"27042"
"90";"94";"17387";"4542";"12845"
