"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"78472";"40488";"37981"
"5";"9";"73422";"37742";"35679"
"10";"14";"73918";"38311";"35612"
"15";"19";"73413";"37506";"35906"
"20";"24";"107156";"50057";"57097"
"25";"29";"136311";"64067";"72240"
"30";"34";"137029";"68953";"68075"
"35";"39";"121216";"62186";"59028"
"40";"44";"140945";"72463";"68480"
"45";"49";"139727";"71224";"68506"
"50";"54";"114801";"56606";"58193"
"55";"59";"94896";"45554";"49339"
"60";"64";"91490";"44348";"47144"
"65";"69";"86035";"41645";"44388"
"70";"74";"92433";"42444";"49989"
"75";"79";"60664";"25475";"35191"
"80";"84";"44010";"15943";"28066"
"85";"89";"27792";"7688";"20102"
"90";"94";"12972";"2750";"10223"
