"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"95648";"49055";"46591"
"5";"9";"97068";"49953";"47112"
"10";"14";"97104";"49732";"47370"
"15";"19";"80009";"41423";"38583"
"20";"24";"139911";"74429";"65486"
"25";"29";"136232";"72452";"63784"
"30";"34";"136364";"70304";"66058"
"35";"39";"130002";"66699";"63299"
"40";"44";"186445";"94009";"92434"
"45";"49";"239448";"122015";"117429"
"50";"54";"219685";"111495";"108192"
"55";"59";"200908";"100597";"100312"
"60";"64";"141834";"69979";"71853"
"65";"69";"144728";"68842";"75890"
"70";"74";"173414";"79664";"93747"
"75";"79";"114601";"49406";"65198"
"80";"84";"72219";"26495";"45726"
"85";"89";"35694";"9095";"26597"
"90";"94";"14470";"2687";"11781"
