"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"255442";"131726";"123718"
"5";"9";"269290";"137901";"131386"
"10";"14";"300254";"153565";"146684"
"15";"19";"307871";"156738";"151130"
"20";"24";"347387";"176100";"171286"
"25";"29";"360156";"178647";"181509"
"30";"34";"365117";"178922";"186196"
"35";"39";"370719";"183128";"187591"
"40";"44";"488345";"246231";"242113"
"45";"49";"522757";"264928";"257825"
"50";"54";"453749";"227458";"226288"
"55";"59";"390207";"191331";"198875"
"60";"64";"360487";"176164";"184322"
"65";"69";"299056";"145342";"153709"
"70";"74";"341235";"160041";"181190"
"75";"79";"228496";"100815";"127680"
"80";"84";"168180";"65836";"102348"
"85";"89";"101219";"29699";"71516"
"90";"94";"41849";"9278";"32575"
