"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"128147";"65788";"62357"
"5";"9";"132856";"67734";"65119"
"10";"14";"134401";"68998";"65406"
"15";"19";"138393";"71046";"67349"
"20";"24";"151637";"78824";"72810"
"25";"29";"156228";"80780";"75449"
"30";"34";"175884";"89659";"86227"
"35";"39";"174211";"86460";"87751"
"40";"44";"174772";"85412";"89362"
"45";"49";"169179";"82635";"86543"
"50";"54";"232201";"114653";"117550"
"55";"59";"254198";"125713";"128483"
"60";"64";"215041";"104705";"110332"
"65";"69";"176215";"84078";"92136"
"70";"74";"157720";"74187";"83536"
"75";"79";"126616";"57137";"69482"
"80";"84";"133089";"56981";"76110"
"85";"89";"67059";"25465";"41595"
"90";"94";"29690";"8319";"21370"
