"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"84561";"43371";"41188"
"5";"9";"83093";"42822";"40270"
"10";"14";"82006";"42226";"39783"
"15";"19";"70946";"36134";"34810"
"20";"24";"139556";"73030";"66527"
"25";"29";"135542";"72756";"62789"
"30";"34";"125417";"67738";"57680"
"35";"39";"117219";"62313";"54907"
"40";"44";"166515";"85929";"80588"
"45";"49";"201433";"102206";"99224"
"50";"54";"191817";"96409";"95405"
"55";"59";"187602";"93289";"94316"
"60";"64";"145374";"70395";"74977"
"65";"69";"142909";"66952";"75960"
"70";"74";"167387";"75470";"91916"
"75";"79";"112763";"46367";"66399"
"80";"84";"76797";"26525";"50271"
"85";"89";"40587";"10158";"30431"
"90";"94";"15513";"2926";"12585"
