"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"192254";"98226";"94029"
"5";"10";"191733";"98269";"93461"
"10";"15";"184953";"95210";"89744"
"15";"20";"187985";"96443";"91540"
"20";"25";"215056";"110962";"104091"
"25";"30";"234733";"122225";"112507"
"30";"35";"261756";"134558";"127195"
"35";"40";"253606";"128041";"125567"
"40";"45";"246640";"122632";"124010"
"45";"50";"232308";"114772";"117534"
"50";"55";"304631";"151619";"153016"
"55";"60";"347176";"173793";"173386"
"60";"65";"317987";"157351";"160637"
"65";"70";"264720";"128496";"136226"
"70";"75";"219763";"104716";"115050"
"75";"80";"144983";"66149";"78832"
"80";"85";"161830";"67980";"93846"
"85";"90";"89140";"33559";"55582"
"90";"95";"42916";"12225";"30693"
