"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"159396";"82293";"77101"
"5";"9";"172743";"88981";"83763"
"10";"14";"204868";"105064";"99802"
"15";"19";"219994";"112890";"107102"
"20";"24";"241987";"122490";"119500"
"25";"29";"227493";"114751";"112740"
"30";"34";"217681";"108194";"109489"
"35";"39";"224468";"110923";"113548"
"40";"44";"312510";"156739";"155770"
"45";"49";"354826";"179489";"175335"
"50";"54";"321959";"161384";"160574"
"55";"59";"280874";"139904";"140968"
"60";"64";"238906";"119000";"119907"
"65";"69";"191769";"92724";"99045"
"70";"74";"236723";"110473";"126247"
"75";"79";"164341";"72421";"91921"
"80";"84";"121792";"46993";"74802"
"85";"89";"70480";"19862";"50617"
"90";"94";"26998";"5767";"21229"
