"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"455349";"233037";"222312"
"5";"9";"490072";"252090";"237983"
"10";"14";"563326";"289224";"274104"
"15";"19";"590893";"303361";"287529"
"20";"24";"655044";"334452";"320591"
"25";"29";"645227";"323894";"321331"
"30";"34";"623331";"310164";"313169"
"35";"39";"635998";"315930";"320069"
"40";"44";"832959";"419326";"413634"
"45";"49";"904895";"459624";"445268"
"50";"54";"795200";"397841";"397355"
"55";"59";"670962";"328695";"342270"
"60";"64";"587567";"287530";"300036"
"65";"69";"509872";"245380";"264495"
"70";"74";"593713";"276293";"317421"
"75";"79";"403253";"178732";"224519"
"80";"84";"289388";"112771";"176616"
"85";"89";"168712";"48712";"120004"
"90";"94";"70894";"15498";"55393"
