"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"294048";"150157";"143892"
"5";"9";"294006";"149916";"144094"
"10";"14";"288758";"147313";"141446"
"15";"19";"292493";"149969";"142521"
"20";"24";"340691";"176691";"164000"
"25";"29";"376422";"195104";"181315"
"30";"34";"414630";"210701";"203931"
"35";"39";"401509";"201235";"200277"
"40";"44";"396625";"195303";"201320"
"45";"49";"377248";"186699";"190552"
"50";"54";"468697";"234494";"234202"
"55";"59";"506335";"253903";"252430"
"60";"64";"437939";"215689";"222251"
"65";"69";"355163";"171116";"184051"
"70";"74";"311939";"145653";"166282"
"75";"79";"227371";"103230";"124139"
"80";"84";"236869";"100127";"136745"
"85";"89";"125805";"47484";"78318"
"90";"94";"60713";"17663";"43056"
