"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"42274";"21814";"20459"
"5";"10";"42018";"21667";"20348"
"10";"15";"42177";"21687";"20492"
"15";"20";"43269";"22451";"20820"
"20";"25";"50260";"26074";"24184"
"25";"30";"57828";"29981";"27845"
"30";"35";"63962";"33061";"30902"
"35";"40";"61228";"31243";"29983"
"40";"45";"58383";"29176";"29209"
"45";"50";"53820";"26800";"27018"
"50";"55";"72604";"35995";"36614"
"55";"60";"87397";"43202";"44195"
"60";"65";"84489";"41788";"42703"
"65";"70";"71280";"34529";"36754"
"70";"75";"59691";"28505";"31184"
"75";"80";"36742";"16364";"20379"
"80";"85";"43352";"17559";"25796"
"85";"90";"24765";"8919";"15844"
"90";"95";"11317";"3105";"8217"
