"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"4";"371159";"190356";"180806"
"5";"9";"369760";"189426";"180333"
"10";"14";"364606";"187384";"177221"
"15";"19";"380803";"194909";"185898"
"20";"24";"432501";"224924";"207572"
"25";"29";"453898";"236784";"217117"
"30";"34";"494232";"254809";"239426"
"35";"39";"481075";"243412";"237665"
"40";"44";"469008";"232651";"236359"
"45";"49";"456867";"226474";"230396"
"50";"54";"609073";"303142";"305933"
"55";"59";"670561";"334925";"335634"
"60";"64";"588193";"289054";"299138"
"65";"69";"483903";"234177";"249728"
"70";"74";"418295";"199263";"219031"
"75";"79";"306977";"139527";"167447"
"80";"84";"332944";"140730";"192215"
"85";"89";"176153";"65334";"110816"
"90";"94";"83263";"23123";"60136"
