"Alter.von";"Alter.Bis";"Gesamt";"Maennlich";"Weiblich"
"0";"5";"551261";"281387";"269871"
"5";"10";"531104";"271829";"259276"
"10";"15";"516745";"264210";"252531"
"15";"20";"539153";"277507";"261643"
"20";"25";"641307";"334601";"306704"
"25";"30";"693287";"361969";"331319"
"30";"35";"752104";"387804";"364297"
"35";"40";"719454";"364745";"354711"
"40";"45";"689864";"344830";"345030"
"45";"50";"658227";"327671";"330557"
"50";"55";"815747";"408568";"407180"
"55";"60";"890644";"448796";"441850"
"60";"65";"783837";"387177";"396658"
"65";"70";"631363";"303647";"327717"
"70";"75";"529038";"247847";"281189"
"75";"80";"390236";"176959";"213280"
"80";"85";"428557";"181099";"247456"
"85";"90";"232470";"89716";"142753"
"90";"95";"109647";"32978";"76669"
